model_name,nb_words,precision,recall,f1_score,auc
Multinomial NB Boolean,700,0.8640776699029126,0.89,0.8768472906403941,0.8747658862876254
Multivariate Bernoulli NB,700,0.8022388059701493,0.7166666666666667,0.7570422535211266,0.7697045707915274
Gaussian NB Boolean,700,0.890625,0.76,0.8201438848920863,0.8331772575250836
Multinomial NB Boolean,650,0.8594249201277955,0.8966666666666666,0.8776508972267537,0.8747547380156075
Multivariate Bernoulli NB,650,0.7955390334572491,0.7133333333333334,0.7521968365553602,0.7646934225195094
Gaussian NB Boolean,650,0.8893280632411067,0.75,0.81374321880651,0.8281772575250836
Multinomial NB Boolean,600,0.8621794871794872,0.8966666666666666,0.8790849673202614,0.8764269788182831
Multivariate Bernoulli NB,600,0.7962962962962963,0.7166666666666667,0.7543859649122806,0.7663600891861762
Gaussian NB Boolean,600,0.8893280632411067,0.75,0.81374321880651,0.8281772575250836
Multinomial NB Boolean,550,0.8664495114006515,0.8866666666666667,0.8764415156507415,0.8747714604236343
Multivariate Bernoulli NB,550,0.8052434456928839,0.7166666666666667,0.7583774250440917,0.771376811594203
Gaussian NB Boolean,550,0.888030888030888,0.7666666666666667,0.8228980322003578,0.8348383500557413
Multinomial NB Boolean,500,0.8617363344051447,0.8933333333333333,0.8772504091653027,0.8747603121516165
Multivariate Bernoulli NB,500,0.8022388059701493,0.7166666666666667,0.7570422535211266,0.7697045707915274
Gaussian NB Boolean,500,0.8859315589353612,0.7766666666666666,0.8277087033747779,0.8381661092530657
Multinomial NB Boolean,450,0.8416149068322981,0.9033333333333332,0.8713826366559485,0.8663823857302119
Multivariate Bernoulli NB,450,0.7838827838827839,0.7133333333333334,0.7469458987783597,0.7580044593088072
Gaussian NB Boolean,450,0.8540145985401459,0.78,0.8153310104529617,0.8231103678929766
Multinomial NB Boolean,400,0.8224299065420559,0.88,0.8502415458937198,0.8446822742474916
Multivariate Bernoulli NB,400,0.7904411764705882,0.7166666666666667,0.7517482517482517,0.763015607580825
Gaussian NB Boolean,400,0.8528301886792453,0.7533333333333333,0.8,0.8114492753623188
