model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;50;1;gain ratio;equal;0.72727;0.7733300000000001;0.7495931082233774;0.7416699999999999
timbl;50;2;gain ratio;equal;0.70948;0.7733300000000001;0.7400303051638443;0.72833
timbl;50;10;gain ratio;equal;0.68598;0.75;0.7165629047758326;0.70333
timbl;50;1;no weights;equal;0.72555;0.76667;0.745543443326051;0.73833
timbl;50;2;no weights;equal;0.68358;0.7633300000000001;0.7212571913940743;0.705
timbl;50;10;no weights;equal;0.70819;0.66333;0.6850263542638825;0.695
timbl;50;1;gain ratio;inverse distance;0.72727;0.7733300000000001;0.7495931082233774;0.7416699999999999
timbl;50;2;gain ratio;inverse distance;0.7177899999999999;0.78;0.7476030685209542;0.7366699999999999
timbl;50;10;gain ratio;inverse distance;0.70536;0.79;0.7452846137384977;0.73
timbl;50;1;no weights;inverse distance;0.72555;0.76667;0.745543443326051;0.73833
timbl;50;2;no weights;inverse distance;0.6994;0.78333;0.7389895692405225;0.72333
timbl;50;10;no weights;inverse distance;0.6762199999999999;0.78667;0.7272754443601364;0.705
timbl;50;1;gain ratio;inverse linear;0.71827;0.7733300000000001;0.7447837746044516;0.735
timbl;50;2;gain ratio;inverse linear;0.72222;0.78;0.7499988017733755;0.74
timbl;50;10;gain ratio;inverse linear;0.6936899999999999;0.77;0.729855775471582;0.715
timbl;50;1;no weights;inverse linear;0.71875;0.76667;0.7419370447415545;0.73333
timbl;50;2;no weights;inverse linear;0.69394;0.7633300000000001;0.7269829478408256;0.71333
timbl;50;10;no weights;inverse linear;0.64815;0.7;0.6730779215962616;0.66
timbl;50;1;gain ratio;exponential decay;0.72727;0.7733300000000001;0.7495931082233774;0.7416699999999999
timbl;50;2;gain ratio;exponential decay;0.72446;0.78;0.751204817675445;0.7416699999999999
timbl;50;10;gain ratio;exponential decay;0.68807;0.75;0.7177015027084913;0.705
timbl;50;1;no weights;exponential decay;0.72555;0.76667;0.745543443326051;0.73833
timbl;50;2;no weights;exponential decay;0.6936899999999999;0.77;0.729855775471582;0.715
timbl;50;10;no weights;exponential decay;0.68155;0.7633300000000001;0.7201256318863851;0.70333
timbl;100;1;gain ratio;equal;0.72105;0.91333;0.8058794117647059;0.78
timbl;100;2;gain ratio;equal;0.72449;0.94667;0.820810632494794;0.79333
timbl;100;10;gain ratio;equal;0.70218;0.96667;0.8134659683015251;0.77833
timbl;100;1;no weights;equal;0.70823;0.94667;0.8102726377424618;0.77833
timbl;100;2;no weights;equal;0.70167;0.98;0.8178020658036357;0.78167
timbl;100;10;no weights;equal;0.64326;0.7633300000000001;0.6981702639717331;0.67
timbl;100;1;gain ratio;inverse distance;0.72105;0.91333;0.8058794117647059;0.78
timbl;100;2;gain ratio;inverse distance;0.71503;0.92;0.8046673149728141;0.77667
timbl;100;10;gain ratio;inverse distance;0.71072;0.95;0.8131220193650947;0.78167
timbl;100;1;no weights;inverse distance;0.70823;0.94667;0.8102726377424618;0.77833
